csi_edu	edu_lat	edu_long	edu_country	edu_zoneid	edu_pct_in_nwi	edu_ha	edu_ha_in_nwi	edu_pct_in_usa	edu_ha_in_usa
Lower Delaware	40.385696694267025	-75.393950144799035	US	EDU_28	94.828931729608442	1834733.995845470100000	1739858.648340153500000	100.000000000000000	1834733.995845470100000
Lower Hudson	41.106046222376797	-74.230321979338868	US	EDU_29	100.000000000008300	1470544.553391260100000	1470544.553391380700000	100.000000000000000	1470544.553391260100000
Big Fork-Little Fork-Vermillion	47.934486212472251	-93.274194572107476	US	EDU_3	100.000000000000030	1285724.047955879900000	1285724.047956281600000	100.000000000000000	1285724.047955879900000
Lower Neosho - Ozarks	36.952012321342870	-94.404363331363612	US	EDU_30	64.314211757594506	1171928.449252510000000	753716.544500220920000	100.000000000000000	1171928.449252510000000
Lower Ohio	37.925165210947661	-87.244260721669932	US	EDU_31	66.973026436649008	2263328.487526389800000	1515819.586299255000000	100.000000000000000	2263328.487526389800000
Lower St. Croix - Downeast Maine Coastal	44.669611585155756	-68.075941939170193	US_CA	EDU_32	99.986796684580881	1638017.951832020000000	1637801.576700462500000	100.000000000474360	1638017.951839790000000
Lower St. Francis River	36.101715655362092	-90.087343855486722	US	EDU_33	48.923101918307090	1780040.847266420000000	870851.197861543270000	100.000000000000000	1780040.847266420000000
Lower Susquehanna	39.938382130562118	-76.492365915820471	US	EDU_34	88.678335139537509	1010947.290721940000000	570924.872967938660000	100.000000000000000	1010947.290721940000000
Lower White	38.797029406951175	-86.565035517089427	US	EDU_35	100.000000000000030	1477348.925951590100000	1477348.925951594300000	100.000000000000000	1477348.925951590100000
Meramec River	38.039862141173117	-91.104161063258999	US	EDU_36	100.000000000000030	1026630.375187320100000	1026630.375187316900000	100.000000000000000	1026630.375187320100000
Middle Connecticut	42.988326795826431	-72.471446813884896	US	EDU_37	100.000000000023620	878595.874639275020000	878595.874639482120000	100.000000000000000	878595.874639275020000
Middle Potomac	39.585919364405086	-77.271280329218257	US	EDU_38	23.499787414708170	251100.129578714990000	59007.996649068496000	100.000000000000000	251100.129578714990000
Middle Susquehanna - Juniata	40.588133891062689	-77.196502502000016	US	EDU_39	99.999999999999972	2199907.530310260100000	2199907.530310260100000	100.000000000000000	2199907.530310260100000
Big Sioux/Little Sioux	43.037883451258026	-96.050345407540590	US	EDU_4	74.421436498074797	3149571.109798550100000	2343956.063449873600000	100.000000000000000	3149571.109798550100000
Middle Wabash River	40.161326868682536	-87.337432254281381	US	EDU_40	99.999999999945757	1170117.464864620000000	1170117.464863809100000	100.000000000000000	1170117.464864620000000
Minnesota River	44.176506389698226	-94.464428450677133	US	EDU_41	100.000000000002100	2265671.728586069800000	2265671.728586485100000	100.000000000000000	2265671.728586069800000
Mississippi Headwaters	46.829962438825952	-94.351580827858498	US	EDU_42	99.999999999999972	2997282.808678620000000	2997282.808678204700000	100.000000000000000	2997282.808678620000000
Mississippi Outwash Plains	45.426923121340423	-94.096036172277408	US	EDU_43	99.999999999999972	2211372.709579970200000	2211372.709579469600000	100.000000000000000	2211372.709579970200000
MO Plains Rivers	39.700070886799040	-91.599506806456873	US	EDU_44	100.000000000008260	2611028.324167320000000	2611028.324167537500000	100.000000000000000	2611028.324167320000000
Moreau/Loutre	38.789739697308271	-91.979898258185031	US	EDU_45	100.000000000000040	1292766.825661610100000	1292766.825661606200000	100.000000000000000	1292766.825661610100000
North Shore of Lake Superior	47.613434802632177	-90.900582220103743	US_CA	EDU_46	99.982528899871255	572756.815826368980000	564911.587074059290000	99.999999999321005	572756.815822480010000
Northeast Lake Ontario	43.562846320890031	-75.647329333107450	US	EDU_47	99.999999999999872	1262605.089465539900000	1262605.089427606700000	100.000000000000000	1262605.089465539900000
Northern Lake Michigan, Lake Huron, and Straits of Mackinac	44.534827947856435	-85.023023200155407	US	EDU_48	99.999999999925578	3843906.514765250000000	3836276.797927106300000	100.000000000000000	3843906.514765250000000
Northwest Adirondacks	44.443260835395385	-74.874073168306467	US_CA	EDU_49	99.998230560725858	1444597.092199710000000	1444571.527930189900000	100.000000000000000	1444597.092199710000000
Blackwater/Lamine	39.024875047041164	-93.701849762114392	US	EDU_5	97.039027282710862	1387005.827123930000000	1345936.962995610900000	100.000000000000000	1387005.827123930000000
Open Mississippi River	38.037355000889903	-89.946928524349516	US	EDU_50	99.999235401206008	873566.158878767980000	873559.479602452720000	100.000000000000000	873566.158878767980000
Osage	37.843164614354656	-93.085135692612951	US	EDU_51	99.999999999999972	1634360.683855179900000	1634360.683855061400000	100.000000000000000	1634360.683855179900000
Osage/South Grand	38.205755968516542	-94.348087152460920	US	EDU_52	67.553827674943662	1696191.647631470100000	1145842.382677667500000	100.000000000000000	1696191.647631470100000
Penobscot - Kennebec - Androscroggin	45.136196203581456	-69.573705263688439	US_CA	EDU_53	99.993537897147320	5025409.523905459800000	5024995.494818326100000	99.999999999772157	5025409.523894010100000
Platte/Nishnabotna	40.811936854107778	-95.187624608186042	US	EDU_54	84.837378475671628	3391729.935358590000000	2877454.762132577600000	100.000000000000000	3391729.935358590000000
Rainy Lake-Rainy Headwaters	48.060223125503072	-91.943172527839508	US_CA	EDU_55	99.977325651961749	885495.281361317030000	885294.501061567450000	100.000000000000000	885495.281361317030000
Rapid-Lower Rainy-Lake of the Woods	48.671275762129831	-94.722696832167642	US_CA	EDU_56	99.990525204729224	755036.702863235030000	754965.164675020380000	100.000000000000000	755036.702863235030000
Rock River	42.355787828791357	-89.307282089339424	US	EDU_57	99.999999999993989	2400506.339067869800000	2400506.339067763600000	100.000000000000000	2400506.339067869800000
Saco - Merrimack - Charles	43.302992764784690	-71.173048278849990	US	EDU_58	100.000000001547650	2804478.405488770000000	2804478.404007395700000	100.000000000017120	2804478.405489250100000
Saginaw Bay	43.522590391399241	-83.761973364602156	US_CA	EDU_59	99.998201609074229	2676114.150407250000000	2669272.362124866300000	100.000000000000000	2676114.150407250000000
Cache River Lowlands	37.280512233121648	-89.195797355136918	US	EDU_6	99.999999999999588	94631.762782311896000	94631.762782311518000	100.000000000000000	94631.762782311896000
Scioto Basin	39.784504474271330	-83.146697395284633	US	EDU_60	99.999999999999986	1686672.858452220000000	1686672.858452179200000	100.000000000000000	1686672.858452220000000
Skunk/Des Moines/ Miss	41.243879808388833	-92.443127502918642	US	EDU_61	100.000000000000090	2939609.748963890100000	2939609.748963838900000	100.000000000000000	2939609.748963890100000
Southeast Lake Michigan	42.376081831358903	-85.397803435364523	US	EDU_62	99.999999999998806	3527384.761907139800000	3527384.761868375400000	100.000000000000000	3527384.761907139800000
Southeast Michigan Interlobate and Lake Plain	42.289375605657874	-83.510156316632688	US_CA	EDU_63	99.982346035565229	1174033.586403500100000	1173826.322883532800000	100.000000000000000	1174033.586403500100000
Southern Alleghany Plateau	38.849194865520019	-82.788618547532252	US	EDU_64	64.626570878365200	1549750.382571560100000	1001550.529430346100000	100.000000000000000	1549750.382571560100000
Southern Driftless	42.676379913483814	-90.509860012533508	US	EDU_65	99.999999999989512	1797471.184560779900000	1797471.184560594800000	100.000000000000000	1797471.184560779900000
Southern Lake Erie	41.418969080044825	-81.429061838691538	US	EDU_66	99.999999998183128	787182.778147078000000	787182.778108453260000	100.000000000000000	787182.778147078000000
Southern Lake Ontario	42.819129044432039	-77.372761691679457	US	EDU_67	99.999999999990095	1980568.312406570000000	1980568.283605759000000	100.000000000000000	1980568.312406570000000
St. Croix River	45.856369822070739	-92.506030238321998	US	EDU_68	99.999999999975500	1999384.118506500000000	1999384.118501654100000	100.000000000000000	1999384.118506500000000
St. Louis River Drainage	47.173905848823559	-92.409865100627272	US	EDU_69	99.999999999972815	967282.356396203050000	967282.356395558570000	100.000000000000000	967282.356396203050000
Cape Cod	41.737093522143034	-70.601165970118970	US	EDU_7	100.000000000023650	311833.597805420980000	311833.597803008100000	100.000000000000000	311833.597805420980000
Tippiecanoe River	41.016009265773377	-86.432105413520389	US	EDU_70	99.999999999999758	504945.173838010990000	504945.173838009770000	100.000000000000000	504945.173838010990000
Upper Alleghany River	41.575608005948432	-79.206989263880914	US	EDU_71	100.000000000000980	2548119.519575839900000	2548119.519575881800000	100.000000000000000	2548119.519575839900000
Upper Connecticut	44.132184223247684	-72.057815002033166	US_CA	EDU_72	99.989985970062875	1249513.656898730000000	1249388.521498998200000	100.000000000000000	1249513.656898730000000
Upper Delaware	41.716896998838472	-74.997978604029953	US	EDU_73	100.000000000006720	1077075.350576310000000	1077075.350576381700000	100.000000000000000	1077075.350576310000000
Upper Des Moines River	42.698209560477984	-94.537991699888551	US	EDU_74	100.000000000000200	2556695.332658779800000	2556695.332658484100000	100.000000000000000	2556695.332658779800000
Upper Hudson	42.993190879790056	-74.111739909062209	US	EDU_75	99.999999999998067	2727880.072159070100000	2727880.072159092900000	100.000000000000000	2727880.072159070100000
Upper Illinois River	41.435575410306427	-88.077523570371341	US	EDU_76	100.000000000002400	3683853.523339930000000	3683853.523340019900000	100.000000000000000	3683853.523339930000000
Upper Minnesota River	45.206778488726982	-95.982139409713810	US	EDU_77	79.621827851875324	2139622.270660060000000	1703606.361025367400000	100.000000000000000	2139622.270660060000000
Upper Potomac - Upper Shenandoah	39.531705357364736	-78.383176682761572	US	EDU_78	28.105746023899091	1249677.233639610000000	351231.109405300000000	100.000000000000000	1249677.233639610000000
Upper St. John - Aroostook	46.708706328740789	-68.838761126753553	US_CA	EDU_79	99.986982444507760	1890275.020569680000000	1890028.952904786200000	100.000000000000000	1890275.020569680000000
Castor River/Saint Francis	37.383238232339828	-90.254779831905637	US	EDU_8	100.000000000000030	645003.956448014940000	645003.956448015170000	100.000000000000000	645003.956448014940000
Upper Susquehanna	42.188556629350423	-76.184501014292550	US	EDU_80	100.000000000006150	2471109.567859279900000	2471109.567859429400000	100.000000000000000	2471109.567859279900000
Upper Wabash River	40.634355029622554	-85.687064587311056	US	EDU_81	99.999999999998167	1372573.673203410100000	1372573.673203385400000	100.000000000000000	1372573.673203410100000
Upper White	39.678794316732080	-86.036891803810107	US	EDU_82	99.999999999999915	1684668.022415889900000	1684668.022416135800000	100.000000000000000	1684668.022415889900000
Wabash River	38.926429032858614	-88.031732310463880	US	EDU_83	100.000000000026130	2325695.319229329900000	2325695.319229912500000	100.000000000000000	2325695.319229329900000
Wapsipinicon-Maquoketa Rivers	42.354937339383198	-91.339998193648640	US	EDU_84	99.999999999999119	1144638.358267110100000	1144638.358267102400000	100.000000000000000	1144638.358267110100000
West Branch Susquehanna River	41.242857826244347	-77.690220471417533	US	EDU_85	99.999999999999972	1807481.138926809900000	1807481.138926808300000	100.000000000000000	1807481.138926809900000
Western Lake Erie	41.168545257764720	-83.929157513151551	US	EDU_86	100.000000000000280	2618157.167755989800000	2618157.167752535500000	99.999999999962952	2618157.167755019900000
Western Lake Michigan and Door Peninsula	43.882541092881674	-87.853074031530312	US	EDU_87	99.999999999998124	956598.944341134050000	956598.944316753540000	100.000000000000000	956598.944341134050000
Western Tributaries of the Red River Basin	45.871443348946123	-96.445550923785859	US	EDU_88	71.791200169971475	510254.784078818980000	366318.033414880980000	100.000000000000000	510254.784078818980000
Western Upper Peninsula and Keweenaw Peninsula	46.693881518038509	-89.181372456481299	US	EDU_89	100.000000000002300	911589.728434729970000	904320.093747326520000	100.000000000000000	911589.728434729970000
Central Upper Peninsula	46.116649715964677	-87.979852541954372	US	EDU_9	99.999999999998550	2154398.867459259900000	2149077.753740935600000	100.000000000000000	2154398.867459259900000
White River	36.681822959500188	-92.168548976093916	US	EDU_90	65.378652109945861	4203287.600720159700000	2748052.777655358000000	100.000000000000000	4203287.600720159700000
Wisconsin River	44.902533558702132	-89.749004911951417	US	EDU_91	99.999999999998423	2110479.959165529800000	2110479.959165494000000	100.000000000000000	2110479.959165529800000
