geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
MINER SLOUGH AT HWY 84 BRIDGE	38.2917	38.2917	-121.6308	-121.6308
IBIS	38.157	38.157	-122.113	-122.113
JERSEY POINT	38.052155	38.052155	-121.688971	-121.688971
LIBERTY ISLAND @ APPROX CNTR S END	38.2421	38.2421	-121.6849	-121.6849
YOLO BYPASS AT LISBON	38.47478104	38.47478104	-121.5882263	-121.5882263
LITTLE POTATO SLOUGH AT TERMINOUS	38.0964	38.0964	-121.4961	-121.4961
MIDDLE RIVER ABOVE BARRIER	37.88518143	37.88518143	-121.4727631	-121.4727631
SACRAMENTO RIVER AT MALLARD ISLAND	38.04280472	38.04280472	-121.9200897	-121.9200897
MIDDLE RIVER AT MIDDLE RIVER	37.943	37.943	-121.534	-121.534
MIDDLE RIVER NEAR HOWARD ROAD BRIDGE	37.876222	37.876222	-121.383306	-121.383306
MIDDLE RIVER AT HOWARD ROAD BRIDGE	37.877	37.877	-121.384	-121.384
MINER SLOUGH NEAR SACRAMENTO RIVER	38.236027	38.236027	-121.666055	-121.666055
NF MOKELUMNE R BLW SNODGRASS SLOUGH	38.223138	38.223138	-121.50677	-121.50677
MOKELUMNE R @ SAN JOAQUIN RIVER	38.1061	38.1061	-121.5711	-121.5711
MIDDLE RIVER AT UNDINE ROAD	37.8339	37.8339	-121.386	-121.386
MIDDLE RIVER NEAR TRACY BLVD	37.881415	37.881415	-121.467395	-121.467395
MARTINEZ	38.02763748	38.02763748	-122.1404877	-122.1404877
SAN JOAQUIN RIVER AT MOSSDALE BRIDGE	37.786	37.786	-121.306	-121.306
MONTEZUMA SLOUGH AT ROARING R	38.0934	38.0934	-121.8872	-121.8872
MIDDLE RIVER AT TRACY BLVD	37.881	37.881	-121.456	-121.456
MIDDLE RIVER AT UNION POINT	37.890778	37.890778	-121.488361	-121.488361
NORTH MOKELUMNE R AT W WALNUT GROVE RD	38.2232	38.2232	-121.5071	-121.5071
NATIONAL STEEL	38.1221	38.1221	-121.8881	-121.8881
OLD RIVER NEAR DMC ABOVE DAM	37.81032181	37.81032181	-121.5421066	-121.5421066
OLD RIVER NEAR DMC BELOW DAM	37.81096268	37.81096268	-121.5439377	-121.5439377
OLD RIVER AT BACON ISLAND (USGS)	37.96936798	37.96936798	-121.5722198	-121.5722198
OLD RIVER AT DELTA MENDOTA CANAL	37.8102951	37.8102951	-121.5421448	-121.5421448
OLD RIVER AT HEAD	37.80755234	37.80755234	-121.3312531	-121.3312531
OLD RIVER AT HIGHWAY 4	37.891109	37.891109	-121.569168	-121.569168
OLD RIVER NEAR TRACY	37.80480957	37.80480957	-121.4495621	-121.4495621
OLD RIVER AT CLIFTON COURT INTAKE	37.828	37.828	-121.5526	-121.5526
OLD RIVER UPSTREAM OF MOUNTAIN HOUSE CRK	37.79384	37.79384	-121.51738	-121.51738
OLD RIVER @ QUIMBLY IS NEAR BETHEL IS	38.0272	38.0272	-121.5645	-121.5645
OLD RIVER ABOVE DOUGHTY CUT	37.810997	37.810997	-121.386576	-121.386576
OLD RIVER AT FRANKS TRACT NEAR TERMINOUS	38.0711	38.0711	-121.5789	-121.5789
PARADISE CUT ABV OLD R	37.8019444	37.8019444	-121.412306	-121.412306
PORT CHICAGO	38.056788	38.056788	-121.999971	-121.999971
PARADISE CUT	37.8020598	37.8020598	-121.4122564	-121.4122564
PRISONERS POINT	38.066	38.066	-121.562	-121.562
SAN JOAQUIN R AT PRISONERS PT NR TERMINO	38.0594	38.0594	-121.5572	-121.5572
PITTSBURG	38.042975	38.042975	-121.892482	-121.892482
RIDGE CUT SLOUGH AT KNIGHTS LANDING	38.793556	38.793556	-121.725349	-121.725349
STANISLAUS RIVER AT RIPON	37.7296524	37.7296524	-121.1104965	-121.1104965
RIO VISTA	38.159203	38.159203	-121.684543	-121.684543
ROARING RIVER	38.092	38.092	-121.889	-121.889
RIPON	37.729859	37.729859	-121.110135	-121.110135
ROUGH AND READY ISLAND	37.963	37.963	-121.365	-121.365
ROCK SLOUGH ABV CONTRA COSTA CANAL	37.97631073	37.97631073	-121.6375961	-121.6375961
SACRAMENTO RIVER AT RIO VISTA BRIDGE	38.159737	38.159737	-121.686355	-121.686355
SUISUN BAY ? CUTOFF NEAR RYER	38.083971	38.083971	-121.995878	-121.995878
CACHE SLOUGH ABV RYER ISLAND FERRY	38.193854	38.193854	-121.658005	-121.658005
CACHE SLOUGH AT RYER ISLAND	38.2128	38.2128	-121.6692	-121.6692
SAN ANDREAS LANDING	38.103301	38.103301	-121.591315	-121.591315
SACRAMENTO RIVER AT DECKER ISLAND	38.0934	38.0934	-121.736	-121.736
SUGAR CUT	37.7928598	37.7928598	-121.4214954	-121.4214954
SAN JOAQUIN RIVER NEAR BUCKLEY COVE	37.980266	37.980266	-121.385717	-121.385717
SAN JOAQUIN RIVER ABOVE DOS REIS	37.8223312	37.8223312	-121.3177244	-121.3177244
SAN JOAQUIN RIVER AT GARWOOD BRIDGE	37.935	37.935	-121.329	-121.329
SAN JOAQUIN RIVER AT JERSEY POINT (USGS)	38.052	38.052	-121.689	-121.689
SAN JOAQUIN R BLW OLD R NEAR LATHROP	37.8111496	37.8111496	-121.3240356	-121.3240356
SAN JOAQUIN R MCCUNE STATION NR VERNALIS	37.67929	37.67929	-121.26511	-121.26511
SOUTH MOKELUMNE R AT W WALNUT GROVE RD	38.2255	38.2255	-121.4911	-121.4911
SUNRISE CLUB	38.185	38.185	-122.083	-122.083
SACRAMENTO R DOWNSTREAM OF ISLETON	38.17548	38.17548	-121.656863	-121.656863
THREE MILE SLOUGH AT SAN JOAQUIN R	38.090109	38.090109	-121.686771	-121.686771
SACRAMENTO RIVER AT HOOD	38.36798096	38.36798096	-121.5199585	-121.5199585
SACRAMENTO RIVER AT RIO VISTA (USGS)	38.16	38.16	-121.686	-121.686
SACRAMENTO R NR SHERMAN ISLAND	38.074097	38.074097	-121.761736	-121.761736
STEAMBOAT SLOUGH BTW SAC R AND SUTTER SL	38.285	38.285	-121.587	-121.587
STATEN ISLAND	38.116919	38.116919	-121.498851	-121.498851
STEAMBOAT SLOUGH BLW SUTTER SLOUGH	38.2525	38.2525	-121.6014	-121.6014
SUTTER SLOUGH AT COURTLAND	38.3286	38.3286	-121.5772	-121.5772
SACRAMENTO R AT WALNUT GROVE EC	38.241851	38.241851	-121.514771	-121.514771
STEAMBOAT SLOUGH NR SACRAMENTO R	38.191267	38.191267	-121.637881	-121.637881
TEAL CLUB AT FRANK HORAN SLOUGH	38.1766	38.1766	-122.0872	-122.0872
THREE MILE SLOUGH	38.106	38.106	-121.7	-121.7
TOM PAINE SLOUGH ABV INTAKE STRUCTURE	37.7901001	37.7901001	-121.4185104	-121.4185104
TURNER CUT NEAR HOLT	37.9928	37.9928	-121.4542	-121.4542
THREEMILE SLOUGH AT SAN JOAQUIN RIVER	38.1033	38.1033	-121.6861	-121.6861
OLD RIVER AT TRACY WILDLIFE ASSOCIATION	37.8028	37.8028	-121.4574	-121.4574
SAN JOAQUIN RIVER AT TWITCHELL ISLAND	38.0969	38.0969	-121.6691	-121.6691
UNION ISLAND	37.822101	37.822101	-121.37499	-121.37499
VICTORIA CANAL NEAR BYRON	37.8717	37.8717	-121.5283	-121.5283
VERNALIS (USBR)	37.679376	37.679376	-121.265002	-121.265002
VICTORIA ISLAND	37.890763	37.890763	-121.488324	-121.488324
SAN JOAQUIN RIVER NEAR VERNALIS	37.67604065	37.67604065	-121.2663269	-121.2663269
VOLANTI	38.181	38.181	-122.046	-122.046
WEST CANAL AT CLIFTON COURT INTAKE	37.8316	37.8316	-121.554	-121.554
